Test Case, Execution Time
Heterogeneity Files,2132.5078
Heterogeneity Mixed,2241.0263
Heterogeneity Nested,2210.6598
Heterogeneity Tabular,5060.8182
Scale 1,53.7739
Scale 10,493.8804
Scale 100,5138.5928
