enst,biotype
ENST00000456328,processed_transcript
ENST00000456328,processed_transcript
ENST00000456328,processed_transcript
ENST00000450305,transcribed_unprocessed_pseudogene
ENST00000450305,transcribed_unprocessed_pseudogene
ENST00000450305,transcribed_unprocessed_pseudogene
ENST00000450305,transcribed_unprocessed_pseudogene
ENST00000450305,transcribed_unprocessed_pseudogene
ENST00000450305,transcribed_unprocessed_pseudogene
ENST00000488147,unprocessed_pseudogene
ENST00000488147,unprocessed_pseudogene
ENST00000488147,unprocessed_pseudogene
ENST00000488147,unprocessed_pseudogene
ENST00000488147,unprocessed_pseudogene
ENST00000488147,unprocessed_pseudogene
ENST00000488147,unprocessed_pseudogene
ENST00000488147,unprocessed_pseudogene
ENST00000488147,unprocessed_pseudogene
ENST00000488147,unprocessed_pseudogene
ENST00000488147,unprocessed_pseudogene
ENST00000619216,miRNA
ENST00000473358,lincRNA
ENST00000473358,lincRNA
ENST00000473358,lincRNA
ENST00000469289,lincRNA
ENST00000469289,lincRNA
ENST00000607096,miRNA
ENST00000417324,lincRNA
ENST00000417324,lincRNA
